Sr No,date,year,startup_name,industry_vertical,sector_clean,sub_vertical,city,city_clean,investors,investor_count,investment_type,stage_clean,amount_in_usd_raw,amount_usd,amount_usd_mn,remarks
1,2020-01-09,2020,BYJU’S,E-Tech,EdTech,E-learning,Bengaluru,Bengaluru,Tiger Global Management,1,Private Equity Round,Private Equity,"20,00,00,000",200000000.0,200.0,
2,2020-01-13,2020,Shuttl,Transportation,Logistics,App based shuttle service,Gurgaon,Gurgaon,Susquehanna Growth Equity,1,Series C,Series B+,"80,48,394",8048394.0,8.048,
3,2020-01-09,2020,Mamaearth,E-commerce,E-Commerce,Retailer of baby and toddler products,Bengaluru,Bengaluru,Sequoia Capital India,1,Series B,Series B,"1,83,58,860",18358860.0,18.359,
4,2020-01-02,2020,https://www.wealthbucket.in/,FinTech,FinTech,Online Investment,New Delhi,New Delhi,Vinod Khatumal,1,Pre-series A,Pre-Series A,"30,00,000",3000000.0,3.0,
5,2020-01-02,2020,Fashor,Fashion and Apparel,Fashion,Embroiled Clothes For Women,Mumbai,Mumbai,Sprout Venture Partners,1,Seed Round,Seed,"18,00,000",1800000.0,1.8,
6,2020-01-13,2020,Pando,Logistics,Logistics,"Open-market, freight management platform",Chennai,Chennai,Chiratae Ventures,1,Series A,Series A,"90,00,000",9000000.0,9.0,
7,2020-01-10,2020,Zomato,Hospitality,Travel,Online Food Delivery Platform,Gurgaon,Gurgaon,Ant Financial,1,Private Equity Round,Private Equity,"15,00,00,000",150000000.0,150.0,
8,2019-12-12,2019,Ecozen,Technology,Technology,Agritech,Pune,Pune,Sathguru Catalyzer Advisors,1,Series A,Series A,"60,00,000",6000000.0,6.0,
9,2019-12-06,2019,CarDekho,E-Commerce,E-Commerce,Automobile,Gurgaon,Gurgaon,Ping An Global Voyager Fund,1,Series D,Series B+,"7,00,00,000",70000000.0,70.0,
10,2019-12-03,2019,Dhruva Space,Aerospace,Aerospace,Satellite Communication,Bengaluru,Bengaluru,"Mumbai Angels, Ravikanth Reddy",2,Seed,Seed,"5,00,00,000",50000000.0,50.0,
11,2019-12-13,2019,Rivigo,Technology,Technology,Logistics Services and Solutions,Gurgaon,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",2,Series F,Series B+,"2,00,00,000",20000000.0,20.0,
12,2019-12-17,2019,Healthians,B2B-focused foodtech startup,FoodTech,Food Solutions For Corporate,Bengaluru,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",3,Series C,Series B+,"1,20,00,000",12000000.0,12.0,
13,2019-12-16,2019,Licious,E-Commerce,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Bengaluru,Vertex Growth Fund,1,Series E,Series B+,"3,00,00,000",30000000.0,30.0,
14,2019-12-16,2019,InCred,Finance,Finance,Non-Banking Financial Company,Mumbai,Mumbai,,0,Debt Funding,Debt,"59,00,000",5900000.0,5.9,
15,2019-12-14,2019,Trell,Video,Media,Experience Discovery Platform,Bengaluru,Bengaluru,Ruizheng Investment,1,Seed Round,Seed,"20,00,000",2000000.0,2.0,
16,2019-12-11,2019,Rein Games,Gaming,Gaming,Real money based gaming startup,Noida,Noida,Manipal Education and Medical Group (MEMG),1,Seed Round,Seed,"5,00,00,000",50000000.0,50.0,
17,2019-12-20,2019,Lenskart.com,E-Commerce,E-Commerce,Online Eyewear Shopping Portal,Faridabad,Faridabad,SoftBank Vision Fund,1,Series G,Series B+,"23,10,00,000",231000000.0,231.0,
18,2019-11-13,2019,Freshworks,Software,SaaS,Business and customer engagement tools,San Francisco,San Francisco,"Sequoia, CapitalG, Accel",3,Series H,Series B+,"15,00,00,000",150000000.0,150.0,
19,2019-11-14,2019,Misters,Health and wellness,HealthTech,Men's Health and Wellness brand,Gurgaon,Gurgaon,"Sauce.vc, Rainforest Ventures",2,Series B,Series B,"4,86,000",486000.0,0.486,
