stage_clean,avg_deal_size_usd,total_deals
Funding Round,1000000000.0,1
Series B,228818844.52,21
Single Venture,140000000.0,1
Series B+,89187823.35,34
Other,52194752.56,4
Equity,50500000.0,2
Equity Based Funding,31000000.0,1
Private Equity,26588844.24,1360
Corporate Round,19290000.0,2
Private,15700000.0,1
Privateequity,15000000.0,1
Private Funding,14680000.0,1
Venture Round,10000000.0,2
Series A,8486000.0,25
Debt,6437350.83,29
Term Loan,6240000.0,1
Pre-Series A,5546500.0,8
Maiden Round,4500000.0,1
Bridge Round,3350000.0,1
Inhouse Funding,2443495.0,1
Seed,1510910.58,1542
Venture,1150000.0,1
Mezzanine,1000000.0,1
Private Nequity,1000000.0,1
Crowd Funding,77884.0,2
